,seed,survival_rate,random_number,outcome
0,71,0.25,0.32375334582076565,0
1,71,0.25,0.6200294852155447,0
2,71,0.25,0.008479999489567791,1
3,71,0.25,0.9828577872722256,0
4,71,0.25,0.822158506189751,0
5,71,0.25,0.9990197882001745,0
6,71,0.25,0.2633503011371503,0
7,71,0.25,0.19948865109855252,1
8,71,0.25,0.05473797466206287,1
9,71,0.25,0.19380237538183753,1
10,71,0.25,0.024185723159746986,1
11,71,0.25,0.6917380282784458,0
12,71,0.25,0.3656696970091611,0
13,71,0.25,0.8155616406881283,0
14,71,0.25,0.7606720263516178,0
15,71,0.25,0.3493243355051877,0
16,71,0.25,0.16679970202499006,1
17,71,0.25,0.34767461274915756,0
18,71,0.25,0.03029517373803181,1
19,71,0.25,0.648325872296287,0
20,71,0.25,0.18979074780354033,1
21,71,0.25,0.14873273910054563,1
22,71,0.25,0.8884031387546717,0
23,71,0.25,0.4370382014357973,0
24,71,0.25,0.9460561804278261,0
25,71,0.25,0.9802716517131277,0
26,71,0.25,0.663965933180776,0
27,71,0.25,0.24972570392504945,1
28,71,0.25,0.14770932611807464,1
29,71,0.25,0.24658959960787907,1
30,71,0.25,0.7366288816396805,0
31,71,0.25,0.5118081298078635,0
32,71,0.25,0.29790135903928316,0
33,71,0.25,0.017430903399456188,1
34,71,0.25,0.3510757476714914,0
35,71,0.25,0.39274919799914576,0
36,71,0.25,0.06932587249254862,1
37,71,0.25,0.24949131234141098,1
38,71,0.25,0.29545349731387793,0
39,71,0.25,0.4159811696232171,0
40,71,0.25,0.49390511044236185,0
41,71,0.25,0.5656303584121004,0
42,71,0.25,0.8495456752048908,0
43,71,0.25,0.2949294742612658,0
44,71,0.25,0.09488891217567252,1
45,71,0.25,0.3031625272444688,0
46,71,0.25,0.21601148814432403,1
47,71,0.25,0.5756321582299018,0
48,71,0.25,0.4762467484631836,0
49,71,0.25,0.32106023475783196,0
50,71,0.25,0.09477697068897761,1
51,71,0.25,0.75102997384638,0
52,71,0.25,0.6239854303403607,0
53,71,0.25,0.6232241560360583,0
54,71,0.25,0.7029395680603727,0
55,71,0.25,0.8549058439183612,0
56,71,0.25,0.03508303944433089,1
57,71,0.25,0.18876661525115812,1
58,71,0.25,0.47170007471756636,0
59,71,0.25,0.7009520667836681,0
60,71,0.25,0.5041916431351283,0
61,71,0.25,0.5050838877769086,0
62,71,0.25,0.30726256930706897,0
63,71,0.25,0.2437852641192204,1
64,71,0.25,0.8739650260074546,0
